,text,label
0,nikmati cicilan 0 12 pemesanan tiket pesawat air asia kartu kredit bni,neutral
1,kue kue disajikan bikin bernostalgia tipikal kue zaman penampilan kuenya enak harganya murah,positive
2,grab indonesia,neutral
3,suka banget makan siang ayam sambalnya enak banget harganya hemat ayamnya meresap ketulangnya es lidah buayanya segar bikin adem perut makan sambal pedas pelayannya sigap ramah suka kasir tulisan 10 disumbangkan beramal makan enak perut,positive
4,pelayanan bus damri,positive
5,bikin postingan isinya mengedukasi customers gojek,neutral
6,ratusan rumah medan terendam banjir,neutral
7,barangnya lumayan heran xiaomi redmi note 2 tombol onnya rusak baterai cepat low bat juragan,negative
8,sulit mempercayai orang berkhianat,negative
9,lokasi gombel pemandangan semarang datanglah malam lampu kota makanan enak steak teh hangat menu wajib ambil spot udara dingin sejuk,positive
10,pesan nasi goreng kentang goreng nasi gorengnya suka kentang gorengnya enak banget presentasinya bagus keluarga bilang kopinya enak tempatnya luas lihat pemandangan dusun bambu pelayanannya cepat kali pesanan harganya mahal makanannya enak terbayarkan pikir kali,positive
11,nasi goreng thailand harga 35 ribu polos suir ayam seafoodnya,negative
12,brownies asli amerika kue bantat berwarna cokelat toko amanda mengkreasikan brownies memasaknya mengukus brownies kukus nggak banget teksturnya bolu brownies,negative
13,restoran cocok sore malam membawa pasangan menikmati makan malam romantis pemandangan menakjubkan,positive
14,pengalaman mengesankan kaget selesai memesan makanan salah staf daun pisang meja piring sendok makan bersiaplah makan tangan merasakan sensasi unik ditambah alas makannya daun pisang,positive
15,salah area kuliner menggugah selera bingung milihnya ku coba kerak telur mie kocok sembari mendengarkan pertunjukan musik lagu lagu nostalgia barat direkomendasikan,positive
16,memastikannya kantor cab bank mandiri jam kerja penukaran uang,neutral
17,kereta jayabaya malang jakarta berhenti gubeng tiket 35 ribu plus asuransi 6 ribu via traveloka,neutral
18,dpr apresiasi keikutsertaan perempuan pilkada 2018,neutral
19,makan malam keluarga kali kondisi ramai interior kotor remah remah bekas makanan lantai meja dibersihkan sempurna makanan standar istimewa,negative
20,tolong bilang anggota dewan lupa revisi perppu ormas ingatkan janjinya perppu direvisi elemen masyarakat mengeluarkan sikap,neutral
21,keripik singkong makanan ringan terenak menemani tugas,positive
22,batagor siomay kingsley cabang makanannya enak batator siomay basonya pakai pengawet paket dibawa pulang dipertahankan kualitasnya,positive
23,pesan layanan ya teman teman mengecewakan villa nya kotor peralatannya layak pakai,negative
24,pendaftaran esok kementerian kominfo buka beasiswa pelatihan digital 1 000 orang,neutral
25,netijen april piknik toba bilang mengecewakan sistem pariwisata parapat nya kotor susah cari akomodasi bagus agen transportasi profesional pokoknya direkomendasikan pergi parapat,negative
26,kotor banget hiraukan pelayan restoran mengecewakan pelayanannya,negative
27,tempatnya bersih makanannya,negative
28,usaha dikeluarkan hasilnya mengecewakan kualitas makanannya makanan sekedar masak kelas kuliner bandung enak enak mengecewakan karcis masuk orang 10 000 mobil 15 000,negative
29,sekeluarga cari makan habis nonton bosan makan resto kafe mal resto kanan jalan makan kari mampirlah resto tergolong 9 meja enak makanannya,positive
30,kopi starbucks enak banget sih,positive
31,dibangun transmart sebelah bangunan,neutral
32,sungguh pengalaman unik makan sawah padi menguning pilihan menu variatif penyajian menarik menggugah selera,positive
33,makan sistah nyaman enak nongkrong pelayanan bagus dah kali makan,positive
